,Unnamed: 0,Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,datetime,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
118,118,0.664621379159441,0.807738377822976,1361,A20190252210,7.66,4.55,Tabriz,2019-01-25 22:10:00,37330,2019,1,25,22,10,night,Winter,7.837297045817336,7.722609035851135
119,119,0.546811654649823,0.84945174694564,22,A20190260910,15.87,12.75,Ahwaz,2019-01-26 09:10:00,37990,2019,1,26,9,10,day,Winter,11.42778223197353,12.190893304951489
120,120,0.527962098728285,0.99413954193597,1754,A20190260910,6.62,8.2,Kerman,2019-01-26 09:10:00,37990,2019,1,26,9,10,day,Winter,7.289863797739504,7.978321477932012
121,121,0.622733477111577,0.896226570899088,1191,A20190260915,6.14,6.68,Tehran,2019-01-26 09:15:00,37995,2019,1,26,9,15,day,Winter,6.505239748266279,7.964563787575058
122,122,0.632856386773144,1.04073983296422,990,A20190262115,7.27,4.35,Mashhad,2019-01-26 21:15:00,38715,2019,1,26,21,15,night,Winter,6.849471137442538,7.04126991770411
123,123,0.51417399763753,1.06255644861415,1370,A20190262115,8.25,4.93,Zahedan,2019-01-26 21:15:00,38715,2019,1,26,21,15,night,Winter,5.964810074276215,5.627436246007522
124,124,0.622733477111577,0.896226570899088,1191,A20190262255,7.34,3.72,Tehran,2019-01-26 22:55:00,38815,2019,1,26,22,55,night,Winter,6.920867940956818,7.443508215914514
125,125,0.515395728113926,0.917694120698618,1491,A20190262255,9.34,10.64,Shiraz,2019-01-26 22:55:00,38815,2019,1,26,22,55,night,Winter,10.189209350440638,10.130117148566194
126,126,0.664621379159441,0.807738377822976,1361,A20190262255,7.97,5.58,Tabriz,2019-01-26 22:55:00,38815,2019,1,26,22,55,night,Winter,8.138436848777891,7.634678937153971
127,127,0.573515192205337,1.03323491718064,1491,A20190270955,5.87,5.42,Birjand,2019-01-27 09:55:00,39475,2019,1,27,9,55,day,Winter,5.440515304518348,5.574263871780607
128,128,0.527962098728285,0.99413954193597,1754,A20190270955,4.86,4.22,Kerman,2019-01-27 09:55:00,39475,2019,1,27,9,55,day,Winter,5.006225774243531,4.909251152946488
129,129,0.51417399763753,1.06255644861415,1370,A20190272200,8.68,6.96,Zahedan,2019-01-27 22:00:00,40200,2019,1,27,22,0,night,Winter,7.377562556247024,8.149965621999488
130,130,0.573515192205337,1.03323491718064,1491,A20190280900,12.7,10.94,Birjand,2019-01-28 09:00:00,40860,2019,1,28,9,0,day,Winter,9.02295938446401,10.884561622965403
131,131,0.546811654649823,0.84945174694564,22,A20190290945,13.04,14.39,Ahwaz,2019-01-29 09:45:00,42345,2019,1,29,9,45,day,Winter,12.438151641110975,14.879317041468212
132,132,0.51417399763753,1.06255644861415,1370,A20190292145,12.18,5.04,Zahedan,2019-01-29 21:45:00,43065,2019,1,29,21,45,night,Winter,5.988024929244819,5.587801595904543
133,133,0.622733477111577,0.896226570899088,1191,A20190302230,6.88,2.39,Tehran,2019-01-30 22:30:00,44550,2019,1,30,22,30,night,Winter,6.474598271965952,6.877629869087989
134,134,0.51417399763753,1.06255644861415,1370,A20190302230,10.69,3.56,Zahedan,2019-01-30 22:30:00,44550,2019,1,30,22,30,night,Winter,5.408942634536369,6.445418398797912
135,135,0.546811654649823,0.84945174694564,22,A20190310930,13.55,12.75,Ahwaz,2019-01-31 09:30:00,45210,2019,1,31,9,30,day,Winter,11.520105180786532,12.206381538681983
136,136,0.573515192205337,1.03323491718064,1491,A20190310930,5.96,4.62,Birjand,2019-01-31 09:30:00,45210,2019,1,31,9,30,day,Winter,4.801982740396717,5.107023425689746
137,137,0.527962098728285,0.99413954193597,1754,A20190310930,3.16,2.3,Kerman,2019-01-31 09:30:00,45210,2019,1,31,9,30,day,Winter,3.956187028925236,4.580858566408283
138,138,0.622733477111577,0.896226570899088,1191,A20190310930,9.87,10.3,Tehran,2019-01-31 09:30:00,45210,2019,1,31,9,30,day,Winter,8.874277242676866,10.134571814511135
139,139,0.515395728113926,0.917694120698618,1491,A20190312135,8.61,3.17,Shiraz,2019-01-31 21:35:00,45935,2019,1,31,21,35,night,Winter,5.57488702245474,6.2179419393486635
140,140,0.632856386773144,1.04073983296422,990,A20190312135,9.25,5.73,Mashhad,2019-01-31 21:35:00,45935,2019,1,31,21,35,night,Winter,7.384310253902853,6.437629950969582
