datetime,Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
3/10/2019 8:55,0.622733477,0.896226571,1191,A20190690855,7.17,7.17,Tehran,99895,2019,3,10,8,55,day,Spring,7.511866873,9.008369012
3/10/2019 10:30,0.546811655,0.849451747,22,A20190691030,17.61,11.12,Ahwaz,99990,2019,3,10,10,30,day,Spring,13.25109466,11.47566743
3/11/2019 9:35,0.527962099,0.994139542,1754,A20190700935,5.72,5.26,Kerman,101375,2019,3,11,9,35,day,Spring,4.612211521,5.427869927
3/13/2019 9:25,0.546811655,0.849451747,22,A20190720925,15.62,13.5,Ahwaz,104245,2019,3,13,9,25,day,Spring,14.97340033,13.93236571
3/13/2019 9:25,0.573515192,1.033234917,1491,A20190720925,6.42,7.84,Birjand,104245,2019,3,13,9,25,day,Spring,6.859393039,8.714550597
3/13/2019 9:25,0.527962099,0.994139542,1754,A20190720925,6.23,6.33,Kerman,104245,2019,3,13,9,25,day,Spring,5.344308814,6.373066925
3/13/2019 9:25,0.622733477,0.896226571,1191,A20190720925,6.13,12.93,Tehran,104245,2019,3,13,9,25,day,Spring,11.82695967,12.03501734
3/14/2019 10:05,0.527962099,0.994139542,1754,A20190731005,6.6,11.22,Kerman,105725,2019,3,14,10,5,day,Spring,9.271197329,11.54520781
3/15/2019 9:10,0.546811655,0.849451747,22,A20190740910,15.97,17.17,Ahwaz,107110,2019,3,15,9,10,day,Spring,17.51602306,16.6147007
3/15/2019 9:10,0.573515192,1.033234917,1491,A20190740910,11.21,17.53,Birjand,107110,2019,3,15,9,10,day,Spring,12.29801909,15.17993869
3/15/2019 9:10,0.527962099,0.994139542,1754,A20190740910,12,16.29,Kerman,107110,2019,3,15,9,10,day,Spring,11.54345702,13.56463989
3/16/2019 9:55,0.546811655,0.849451747,22,A20190750955,20.96,12.27,Ahwaz,108595,2019,3,16,9,55,day,Spring,13.95477856,12.20633739
3/16/2019 9:55,0.573515192,1.033234917,1491,A20190750955,7.74,15.26,Birjand,108595,2019,3,16,9,55,day,Spring,11.6045908,13.56042478
3/16/2019 9:55,0.527962099,0.994139542,1754,A20190750955,6.59,6,Kerman,108595,2019,3,16,9,55,day,Spring,5.011629314,6.372484759
3/16/2019 9:55,0.622733477,0.896226571,1191,A20190750955,7.46,4.65,Tehran,108595,2019,3,16,9,55,day,Spring,6.236700794,7.108583903
3/18/2019 9:40,0.527962099,0.994139542,1754,A20190770940,6.92,5.18,Kerman,111460,2019,3,18,9,40,day,Spring,4.386111082,5.574255051
3/19/2019 8:45,0.527962099,0.994139542,1754,A20190780845,5.97,6.78,Kerman,112845,2019,3,19,8,45,day,Spring,5.397052528,8.428681032
3/19/2019 8:50,0.573515192,1.033234917,1491,A20190780850,9.32,14.17,Birjand,112850,2019,3,19,8,50,day,Spring,11.00528752,13.41482097
3/19/2019 10:25,0.546811655,0.849451747,22,A20190781025,10.69,9.85,Ahwaz,112945,2019,3,19,10,25,day,Spring,12.71567011,10.72993058
3/19/2019 10:25,0.622733477,0.896226571,1191,A20190781025,5.95,6.15,Tehran,112945,2019,3,19,10,25,day,Spring,7.169171201,9.095648743
3/20/2019 9:30,0.546811655,0.849451747,22,A20190790930,9.1,16.21,Ahwaz,114330,2019,3,20,9,30,day,Spring,16.99149506,16.47049097
3/20/2019 9:30,0.573515192,1.033234917,1491,A20190790930,6.71,7.29,Birjand,114330,2019,3,20,9,30,day,Spring,6.317441001,9.600531797
3/21/2019 10:15,0.546811655,0.849451747,22,A20190801015,17.57,15.77,Ahwaz,115815,2019,3,21,10,15,day,Spring,16.84793388,16.45906592
3/22/2019 9:20,0.546811655,0.849451747,22,A20190810920,16.13,12.68,Ahwaz,117200,2019,3,22,9,20,day,Spring,14.61709472,12.47666276
3/22/2019 9:20,0.573515192,1.033234917,1491,A20190810920,6.27,6.17,Birjand,117200,2019,3,22,9,20,day,Spring,5.430762357,6.840763398
3/22/2019 9:20,0.622733477,0.896226571,1191,A20190810920,5.41,4.47,Tehran,117200,2019,3,22,9,20,day,Spring,6.17574508,7.950049235
3/23/2019 10:00,0.573515192,1.033234917,1491,A20190821000,9.89,15.5,Birjand,118680,2019,3,23,10,0,day,Spring,11.66352629,13.39637445
3/24/2019 9:05,0.573515192,1.033234917,1491,A20190830905,11.54,18.68,Birjand,120065,2019,3,24,9,5,day,Spring,12.54161678,14.92770793
3/27/2019 9:35,0.546811655,0.849451747,22,A20190860935,18.03,14.42,Ahwaz,124415,2019,3,27,9,35,day,Spring,15.90433632,15.12955173
3/27/2019 9:35,0.573515192,1.033234917,1491,A20190860935,12.64,16.85,Birjand,124415,2019,3,27,9,35,day,Spring,12.09328386,14.22667658
3/27/2019 9:40,0.622733477,0.896226571,1191,A20190860940,9.82,12.16,Tehran,124420,2019,3,27,9,40,day,Spring,11.34499574,12.31082509
3/28/2019 8:40,0.527962099,0.994139542,1754,A20190870840,7.95,7.33,Kerman,125800,2019,3,28,8,40,day,Spring,5.737311284,9.10638889
3/28/2019 10:20,0.546811655,0.849451747,22,A20190871020,7.76,11.39,Ahwaz,125900,2019,3,28,10,20,day,Spring,13.86311129,12.29144702
3/29/2019 9:25,0.573515192,1.033234917,1491,A20190880925,7.29,9.29,Birjand,127285,2019,3,29,9,25,day,Spring,7.907856913,9.72352833
3/29/2019 9:25,0.527962099,0.994139542,1754,A20190880925,4.66,4.26,Kerman,127285,2019,3,29,9,25,day,Spring,3.630817108,5.000829047
3/29/2019 9:25,0.622733477,0.896226571,1191,A20190880925,9.44,8,Tehran,127285,2019,3,29,9,25,day,Spring,8.334458096,10.13256562
3/30/2019 8:30,0.573515192,1.033234917,1491,A20190890830,9.81,15.13,Birjand,128670,2019,3,30,8,30,day,Spring,11.36287701,13.24853724
4/2/2019 9:00,0.622733477,0.896226571,1191,A20190920900,10.77,12.96,Tehran,133020,2019,4,2,9,0,day,Spring,12.67135798,13.59103536
4/3/2019 9:45,0.573515192,1.033234917,1491,A20190930945,10.71,12.7,Birjand,134505,2019,4,3,9,45,day,Spring,10.56692134,12.34518893
4/4/2019 8:45,0.527962099,0.994139542,1754,A20190940845,12.67,20.04,Kerman,135885,2019,4,4,8,45,day,Spring,12.4836596,15.39852051
4/4/2019 8:50,0.573515192,1.033234917,1491,A20190940850,11.22,12.06,Birjand,135890,2019,4,4,8,50,day,Spring,10.10924729,12.83863254
4/4/2019 10:25,0.546811655,0.849451747,22,A20190941025,16.47,21.8,Ahwaz,135985,2019,4,4,10,25,day,Spring,20.23553158,21.3940765
4/5/2019 9:30,0.573515192,1.033234917,1491,A20190950930,9.77,19.51,Birjand,137370,2019,4,5,9,30,day,Spring,12.94359778,16.58858696
4/5/2019 9:30,0.622733477,0.896226571,1191,A20190950930,13.79,14.01,Tehran,137370,2019,4,5,9,30,day,Spring,13.1123319,13.64944836
4/7/2019 9:20,0.527962099,0.994139542,1754,A20190970920,14.24,16.2,Kerman,140240,2019,4,7,9,20,day,Spring,11.41289721,14.35226715
4/8/2019 10:00,0.546811655,0.849451747,22,A20190981000,16.87,18.67,Ahwaz,141720,2019,4,8,10,0,day,Spring,19.34213082,17.34863647
4/9/2019 9:05,0.573515192,1.033234917,1491,A20190990905,12.18,12.55,Birjand,143105,2019,4,9,9,5,day,Spring,10.54031131,12.95732311
4/9/2019 9:10,0.622733477,0.896226571,1191,A20190990910,12.35,14.24,Tehran,143110,2019,4,9,9,10,day,Spring,13.34684218,13.82530181
4/10/2019 9:50,0.546811655,0.849451747,22,A20191000950,22.65,20.65,Ahwaz,144590,2019,4,10,9,50,day,Spring,19.98751018,19.95323506
4/10/2019 9:50,0.573515192,1.033234917,1491,A20191000950,16.37,21.79,Birjand,144590,2019,4,10,9,50,day,Spring,13.59531922,17.64845816
4/11/2019 8:55,0.546811655,0.849451747,22,A20191010855,24.67,29.99,Ahwaz,145975,2019,4,11,8,55,day,Spring,22.69725732,26.08991429
4/11/2019 8:55,0.527962099,0.994139542,1754,A20191010855,12.08,19.51,Kerman,145975,2019,4,11,8,55,day,Spring,12.52855132,15.14789363
4/11/2019 8:55,0.622733477,0.896226571,1191,A20191010855,12.66,19.53,Tehran,145975,2019,4,11,8,55,day,Spring,14.89381563,15.55151517
