Latitude,Longitude,Height,Time,Time_t,Time_y,RS_PWV,IR_PWV,name
35.68,51.35,1191,43501.4097,02/05/2019 09:49:58,35.4096999999965,0.542,0.604,Tehran
34.26,47.11,1322,43501.9792,02/05/2019 23:30:02,35.9792000000016,0.418,0.257,Kermanshah
38.08,46.28,1361,43501.9792,02/05/2019 23:30:02,35.9792000000016,0.374,0.393,Tabriz
30.25,56.96,1754,43502.3715,02/06/2019 08:54:57,36.3715000000011,0.277,0.391,Kerman
32.86,59.2,1491,43502.3715,02/06/2019 08:54:57,36.3715000000011,0.485,0.446,Birjand
35.68,51.35,1191,43502.3715,02/06/2019 08:54:57,36.3715000000011,0.404,0.422,Tehran
36.26,59.63,990,43502.941,02/06/2019 22:35:02,36.9409999999989,0.637,0.459,Mashhad
32.86,59.2,1491,43503.3993,02/07/2019 09:34:59,37.3992999999973,0.484,0.413,Birjand
29.46,60.88,1370,43503.9028,02/07/2019 21:40:01,37.9028000000035,0.324,0.235,Zahedan
29.53,52.58,1491,43503.9028,02/07/2019 21:40:01,37.9028000000035,0.287,0.609,Shiraz
30.25,56.96,1754,43504.3611,02/08/2019 08:39:59,38.3611000000019,0.532,0.644,Kerman
29.46,60.88,1370,43504.934,02/08/2019 22:24:57,38.9340000000011,0.278,0.463,Zahedan
29.46,60.88,1370,43505.8958,02/09/2019 21:29:57,39.8957999999984,0.561,1.091,Zahedan
32.46,51.71,1550,43507.9549,02/11/2019 22:55:03,41.954899999997,0.998,0.415,Esfahan
31.33,48.67,22,43508.4132,02/12/2019 09:55:00,42.4132000000027,1.348,1.468,Ahwaz
35.68,51.35,1191,43508.4132,02/12/2019 09:55:00,42.4132000000027,0.739,0.864,Tehran
38.08,46.28,1361,43508.9826,02/12/2019 23:34:56,42.982600000003,0.728,0.3,Tabriz
35.68,51.35,1191,43509.375,02/13/2019 09:00:00,43.375,0.587,0.36,Tehran
34.26,47.11,1322,43509.9444,02/13/2019 22:39:56,43.9444000000003,0.526,0.255,Kermanshah
35.68,51.35,1191,43509.9444,02/13/2019 22:39:56,43.9444000000003,0.513,0.35,Tehran
38.08,46.28,1361,43509.9444,02/13/2019 22:39:56,43.9444000000003,0.498,0.536,Tabriz
30.25,56.96,1754,43510.4028,02/14/2019 09:40:01,44.4028000000035,0.216,0.191,Kerman
35.68,51.35,1191,43510.4063,02/14/2019 09:45:04,44.4063000000024,0.67,0.681,Tehran
29.46,60.88,1370,43510.9063,02/14/2019 21:45:04,44.9063000000024,0.432,0.203,Zahedan
32.86,59.2,1491,43511.3681,02/15/2019 08:50:03,45.3680999999997,0.855,0.69,Birjand
32.46,51.71,1550,43511.9375,02/15/2019 22:30:00,45.9375,1.032,0.516,Esfahan
36.26,59.63,990,43511.9375,02/15/2019 22:30:00,45.9375,0.638,0.849,Mashhad
35.68,51.35,1191,43512.3958,02/16/2019 09:29:57,46.3957999999984,0.7,0.834,Tehran
29.46,60.88,1370,43512.8993,02/16/2019 21:34:59,46.8992999999973,1.436,1.634,Zahedan
32.86,59.2,1491,43513.3576,02/17/2019 08:34:56,47.357600000003,0.7,0.922,Birjand
31.33,48.67,22,43513.4271,02/17/2019 10:15:01,47.4271000000008,1.515,1.666,Ahwaz
35.68,51.35,1191,43513.9271,02/17/2019 22:15:01,47.9271000000008,0.552,0.298,Tehran
38.08,46.28,1361,43513.9271,02/17/2019 22:15:01,47.9271000000008,0.763,0.48,Tabriz
30.25,56.96,1754,43514.3889,02/18/2019 09:20:00,48.3888999999981,0.312,0.246,Kerman
31.33,48.67,22,43514.3889,02/18/2019 09:20:00,48.3888999999981,1.175,1.475,Ahwaz
35.68,51.35,1191,43514.3889,02/18/2019 09:20:00,48.3888999999981,0.549,0.62,Tehran
29.53,52.58,1491,43514.9583,02/18/2019 22:59:57,48.9582999999984,0.273,0.364,Shiraz
32.46,51.71,1550,43514.9583,02/18/2019 22:59:57,48.9582999999984,0.509,0.337,Esfahan
35.68,51.35,1191,43514.9583,02/18/2019 22:59:57,48.9582999999984,0.517,0.332,Tehran
30.25,56.96,1754,43515.4167,02/19/2019 10:00:02,49.4167000000016,0.481,0.447,Kerman
31.33,48.67,22,43515.4167,02/19/2019 10:00:02,49.4167000000016,1.289,1.255,Ahwaz
29.53,52.58,1491,43515.9201,02/19/2019 22:04:56,49.920100000003,0.448,0.224,Shiraz
32.46,51.71,1550,43515.9201,02/19/2019 22:04:56,49.920100000003,0.544,0.262,Esfahan
38.08,46.28,1361,43515.9861,02/19/2019 23:39:59,49.9861000000019,0.647,0.304,Tabriz
30.25,56.96,1754,43516.3785,02/20/2019 09:05:02,50.3784999999989,0.561,0.852,Kerman
35.68,51.35,1191,43516.9479,02/20/2019 22:44:58,50.9478999999992,0.422,0.212,Tehran
38.08,46.28,1361,43516.9479,02/20/2019 22:44:58,50.9478999999992,0.322,0.252,Tabriz
30.25,56.96,1754,43517.4097,02/21/2019 09:49:58,51.4096999999965,0.438,0.504,Kerman
31.33,48.67,22,43517.4097,02/21/2019 09:49:58,51.4096999999965,1.169,1.092,Ahwaz
32.86,59.2,1491,43517.4097,02/21/2019 09:49:58,51.4096999999965,0.229,0.289,Birjand
35.68,51.35,1191,43517.4097,02/21/2019 09:49:58,51.4096999999965,0.509,0.786,Tehran
29.53,52.58,1491,43517.9132,02/21/2019 21:55:00,51.9132000000027,0.439,0.609,Shiraz
34.26,47.11,1322,43517.9792,02/21/2019 23:30:02,51.9792000000016,0.453,0.488,Kermanshah
38.08,46.28,1361,43517.9792,02/21/2019 23:30:02,51.9792000000016,0.419,0.456,Tabriz
30.25,56.96,1754,43518.3715,02/22/2019 08:54:57,52.3715000000011,0.451,0.533,Kerman
35.68,51.35,1191,43518.3715,02/22/2019 08:54:57,52.3715000000011,0.785,1.076,Tehran
32.46,51.71,1550,43518.941,02/22/2019 22:35:02,52.9409999999989,0.47,0.399,Esfahan
35.68,51.35,1191,43518.941,02/22/2019 22:35:02,52.9409999999989,0.522,0.573,Tehran
38.08,46.28,1361,43518.941,02/22/2019 22:35:02,52.9409999999989,0.63,0.443,Tabriz
30.25,56.96,1754,43519.3993,02/23/2019 09:34:59,53.3992999999973,0.78,0.561,Kerman
31.33,48.67,22,43519.3993,02/23/2019 09:34:59,53.3992999999973,1.822,2.011,Ahwaz
32.86,59.2,1491,43519.3993,02/23/2019 09:34:59,53.3992999999973,0.665,0.805,Birjand
35.68,51.35,1191,43519.3993,02/23/2019 09:34:59,53.3992999999973,0.706,0.53,Tehran
29.46,60.88,1370,43519.9028,02/23/2019 21:40:01,53.9028000000035,0.507,1.234,Zahedan
29.53,52.58,1491,43519.9028,02/23/2019 21:40:01,53.9028000000035,1.055,0.632,Shiraz
36.26,59.63,990,43519.9028,02/23/2019 21:40:01,53.9028000000035,0.389,0.929,Mashhad
30.25,56.96,1754,43520.3611,02/24/2019 08:39:59,54.3611000000019,0.787,1.286,Kerman
32.86,59.2,1491,43520.3611,02/24/2019 08:39:59,54.3611000000019,0.416,0.662,Birjand
31.33,48.67,22,43520.4306,02/24/2019 10:20:03,54.4305999999997,1.265,1.037,Ahwaz
29.46,60.88,1370,43520.934,02/24/2019 22:24:57,54.9340000000011,0.519,0.81,Zahedan
31.33,48.67,22,43521.3924,02/25/2019 09:25:03,55.392399999997,1.299,0.868,Ahwaz
32.86,59.2,1491,43521.3924,02/25/2019 09:25:03,55.392399999997,0.614,1.084,Birjand
35.68,51.35,1191,43521.3924,02/25/2019 09:25:03,55.392399999997,0.793,0.843,Tehran
29.46,60.88,1370,43521.8958,02/25/2019 21:29:57,55.8957999999984,0.948,0.471,Zahedan
35.68,51.35,1191,43521.9618,02/25/2019 23:04:59,55.9617999999973,1.029,0.438,Tehran
38.08,46.28,1361,43521.9618,02/25/2019 23:04:59,55.9617999999973,0.571,0.333,Tabriz
32.86,59.2,1491,43522.3542,02/26/2019 08:30:02,56.3542000000016,0.646,1.416,Birjand
30.25,56.96,1754,43522.4201,02/26/2019 10:04:56,56.420100000003,0.258,0.39,Kerman
31.33,48.67,22,43522.4201,02/26/2019 10:04:56,56.420100000003,0.891,1.052,Ahwaz
29.46,60.88,1370,43522.9236,02/26/2019 22:09:59,56.9236000000019,0.858,0.339,Zahedan
36.26,59.63,990,43522.9236,02/26/2019 22:09:59,56.9236000000019,0.837,0.944,Mashhad
32.46,51.71,1550,43523.9549,02/27/2019 22:55:03,57.954899999997,0.59,0.695,Esfahan
35.68,51.35,1191,43523.9549,02/27/2019 22:55:03,57.954899999997,0.732,0.696,Tehran
30.25,56.96,1754,43524.4132,02/28/2019 09:55:00,58.4132000000027,0.905,1.083,Kerman
31.33,48.67,22,43524.4132,02/28/2019 09:55:00,58.4132000000027,1.705,1.438,Ahwaz
32.86,59.2,1491,43524.4132,02/28/2019 09:55:00,58.4132000000027,0.583,0.883,Birjand
32.46,51.71,1550,43524.9167,02/28/2019 22:00:02,58.9167000000016,0.711,0.646,Esfahan
36.26,59.63,990,43524.9167,02/28/2019 22:00:02,58.9167000000016,1.203,0.679,Mashhad
30.25,56.96,1754,43525.375,03/01/2019 09:00:00,59.375,0.667,1.204,Kerman
