Site,Longitude,Latitude,EastVelocity,NorthVelocity,EastError,NorthError,Correlation,Solution,Speed
KHID,49.237,39.818,4.85,6.66,1.46,1.48,0,Reilinger,8.238816663
KHJE,46.5956,38.1517,2.77,10.11,0.18,0.18,0.005,IPGN,10.48260464
KHO2,54.126,29.923,-1.58,14.59,0.41,0.4,0.022,Raeesi,14.67530238
KHON,50.458,33.157,-2.9,13.4,0.75,0.72,0.008,Raeesi,13.71021517
KHOR,47.123,37.368,-2.63,13.54,0.56,0.57,0.013,Raeesi,13.79305985
KHOS,48.409,30.246,-0.26,19.27,1.15,1.1,0.017,Raeesi,19.27175394
KHSF,58.821,32.755,0.82,6.72,1.16,1.16,0.003,Raeesi,6.769844902
KHUR,55.0813,33.7693,0.11,11.46,0.1,0.1,0.019,IPGN,11.46052791
KISL,42.663,43.742,-0.21,0.82,0.56,0.56,-0.028,Reilinger,0.84646323
KIZ0,44.19,41.185,1.88,5.33,0.72,0.72,-0.009,Reilinger,5.651840408
KIZ2,40.65,37.246,-6.83,14.42,0.85,0.86,-0.005,Reilinger,15.95572938
KKDY,44.1599,39.3323,3.96,7.41,0.16,0.19,0.006,IPGN,8.401767671
KLBR,47.0323,38.8687,4.6,12.06,0.18,0.2,0.006,IPGN,12.90750169
KMSH,47.1247,34.3561,-1.01,10.44,1.17,0.5,0,IPGN,10.48874158
KOKU,41.793,38.753,-5.43,12.77,0.47,0.49,-0.024,Reilinger,13.87651974
KORD,54.199,36.86,-2.3,6.24,0.36,0.34,0.008,Raeesi,6.650383448
KRAD,48.2787,33.4334,-4.61,14.43,0.14,0.13,0.009,IPGN,15.14849828
KRD2,50.531,31.808,-4.67,15.42,1.62,1.61,0,Raeesi,16.11165106
KRES,44.486,42.447,0.23,3.7,0.46,0.45,0,Reilinger,3.707141756
KRKT,41.794,38.754,-5.05,11.91,0.91,0.93,-0.011,Reilinger,12.93640599
KRS1,43.093,40.588,1.59,5.01,0.82,0.82,-0.01,Reilinger,5.256253419
KRYZ,42.149,39.714,-1.74,8.49,0.86,0.77,0,Reilinger,8.66646987
KSHA,51.255,34.15,-2.81,13.14,0.4,0.38,-0.002,Raeesi,13.43710162
KSHM,58.473,35.2706,1.23,5.58,0.1,0.1,0.02,IPGN,5.713956598
KUDI,45.795,41.951,-0.79,5.21,0.56,0.53,0,Reilinger,5.269554061
KURD,48.148,40.333,3.88,9.84,0.76,0.66,0,Reilinger,10.57733426
KUWT,47.971,29.325,0.26,19.21,0.85,0.84,0,Reilinger,19.21175942
LALE,56.69,29.596,1.77,15.19,1.12,1.13,0.004,Raeesi,15.29277607
LAMB,54.004,26.883,1.52,21.15,1.41,1.28,0.002,Raeesi,21.20454904
LAMD,53.2034,27.3637,3.25,19.49,0.22,0.14,0.008,IPGN,19.75911435
LAR2,54.32,27.644,-0.42,18.11,1.36,1.37,0.012,Raeesi,18.11486958
LARZ,52.811,36.078,-2.49,8.2,0.68,0.69,0,Raeesi,8.569719949
MABD,52.2852,36.5884,-4.17,7.06,0.11,0.12,0.014,IPGN,8.19954267
MMAR02,55.956,37.845,-4.27,6.03,0.58,0.61,-0.013,Raeesi,7.388761737
MARD,40.728,37.311,-6.83,14.44,0.85,0.86,-0.005,Reilinger,15.97380668
MARG,48.891,37.187,-0.13,11.51,0.7,0.72,-0.009,Raeesi,11.51073412
MARV,52.752,29.798,-0.05,13.93,1.56,1.53,0,Raeesi,13.93008973
MAVT,55.9439,37.801,-4.56,6.19,0.12,0.13,0.012,IPGN,7.688283293
MEHR,52.157,35.868,-1.71,8.88,0.52,0.52,0.01,Raeesi,9.043146576
MF01,51.955,35.683,-1.31,9.97,0.42,0.42,0,Raeesi,10.0556949
MF02,51.797,35.801,-0.96,10.39,0.33,0.33,0,Raeesi,10.43425608
MF03,51.885,35.649,-1.41,10.89,0.32,0.32,0,Raeesi,10.9809016
MF04,52.117,35.258,-1.94,11.65,0.36,0.36,0,Raeesi,11.81042336
MF05,51.277,35.493,-0.68,12.2,0.44,0.43,0,Raeesi,12.21893612
MF06,50.543,35.227,-1.07,12.17,0.43,0.43,-0.001,Raeesi,12.21694725
MF07,52.008,35.897,-0.4,8.74,0.33,0.34,0,Raeesi,8.74914853
MF10,51.304,36.394,-2.5,11.48,0.46,0.47,0,Raeesi,11.74905954
MF12,51.315,36.15,-1.12,12.04,0.54,0.54,0.01,Raeesi,12.09198081
MF13,50.632,36.009,-1.1,11.57,0.44,0.44,0,Raeesi,11.62217277
MF15,51.613,35.988,-2.37,11.65,0.33,0.33,-0.01,Raeesi,11.88862482
MF16,51.665,35.724,-1.17,11.92,0.33,0.33,0,Raeesi,11.97728266
MF17,51.108,35.753,-1.43,10.9,0.32,0.33,0,Raeesi,10.99340257
MHAN,57.2884,30.0716,1.34,14.67,0.18,0.16,0.008,IPGN,14.7310726
MIAN,46.162,36.908,-2.1,14.18,0.38,0.35,0.005,Raeesi,14.3346573
MIDY,41.357,37.417,-5.82,13.6,1.05,1.06,0.001,Reilinger,14.79298482
MINA,57.1,27.16,1.05,22.56,2.21,2.05,0.022,Raeesi,22.58442162
MKLA,49.038,14.486,12.64,21.51,0.56,0.54,0.001,Reilinger,24.94894186
MMKN,44.771,37.9851,-2.06,13.63,0.49,0.39,0.001,IPGN,13.78479235
MMOR,44.114,40.178,2.73,6.7,0.65,0.64,-0.014,Reilinger,7.234839321
MMR0,44.091,40.178,2.09,7.07,0.42,0.41,-0.012,Reilinger,7.372448711
